Area (sqft),Bedrooms,Bathrooms,Location Score,Age of House (years),Nearby Amenities Score,Price
3974,1,2,8.758383858903821,45,3.0215405065946674,640614.1193055686
1660,5,1,8.600944586815633,26,4.34950321453762,327034.9516925355
2094,5,2,3.871904259189301,28,4.888691946497763,352360.56233222515
1930,1,1,8.460239267356096,46,4.95464490725007,361188.1953551947
1895,5,3,1.3330687124394336,27,6.5164562424507295,320093.47436547815
3892,5,1,6.366428906338477,34,9.487682539702368,611597.7405822175
2438,5,1,3.0700795355893273,7,3.1662344064925447,400453.6490704305
2969,3,1,2.0851019719955093,15,2.0935123867082623,392811.6177116704
1266,4,1,1.6925788146628824,41,2.777234408739436,219216.12070463787
2038,2,3,7.266598982903258,35,8.982324101883425,389188.24798429664
1130,3,3,4.058874673912595,29,6.812297313896854,238597.96396175787
2282,5,2,7.522900943758853,17,3.573161103152441,414150.67760875373
2935,1,3,1.5882070671904813,1,8.343522450717554,431824.37443369074
3971,5,3,3.837613040475493,48,8.752329967270924,553988.9412211308
3719,4,2,5.855421631378035,12,8.618629048212503,531760.2121863741
930,5,3,8.116508483550671,3,9.27033880275599,243619.2044666712
2485,1,1,3.8687725263886295,25,3.270169181560254,440475.1765089945
1569,4,1,6.633022387933082,24,7.795377358716505,302060.26639559213
3191,5,2,8.973799734125684,29,5.14485547546726,485777.4760326428
2315,4,2,6.542768693640741,10,8.577986976010553,419087.6546150049
3653,2,2,3.096635272782704,6,7.5564160944545185,546810.1770431617
3233,2,1,1.2196070340088423,30,7.9880270184975215,482054.5986708775
2015,5,3,8.830889865108368,43,6.905456539129643,391746.6535339138
1755,4,1,1.1914246976534844,9,2.596858925227362,291791.5656537149
3124,1,2,8.872315054157795,38,5.905242270072445,551855.3566435265
1984,5,3,5.760434206244907,12,9.862027655720574,343627.9137047876
1259,2,3,9.451609286616065,30,9.43649259847407,285183.8176553974
821,2,1,8.189049121962988,6,1.388563622173105,209571.60586183096
3100,5,2,9.981406994800038,48,2.483333341564934,511013.6782304681
1547,4,1,4.156406339065391,41,2.1855589610910573,301220.85022879386
3704,2,3,7.904694600380142,41,7.53381918986766,587499.0421435275
1274,4,1,4.617378222483179,35,8.360067968712507,264637.7232320849
1882,2,1,5.318880582735179,19,2.9216022967960473,293395.0506992514
3358,2,2,6.64754916896533,3,5.552674236566461,513540.76649977465
2847,3,2,8.863094027677048,6,8.5663272521008,455497.27849768096
3547,2,3,9.856751222793656,0,7.595213902896255,609335.2488687118
1775,1,1,7.914460724780664,43,5.880134849426635,374197.7393796613
2606,5,1,4.759901039506004,44,6.313129214128956,426900.0387610611
989,5,1,4.792213020493632,41,5.57524492224652,197349.27667351518
3805,4,3,7.638240714300023,46,3.677936061869385,609349.7611081202
3534,2,3,3.148994311914721,12,6.085197935731145,507542.64182223973
3805,1,2,1.994267018182552,21,7.199967718450816,509043.4361444485
1362,4,2,4.191599418766989,20,8.859906242747268,245697.76845955697
2699,3,2,3.5851509248867357,21,6.726622185813232,407308.30981575046
2067,4,1,3.6667730841039106,27,7.850093833388422,342344.4420008158
3679,4,1,3.1024697594491895,8,2.4406447145911567,521608.7804333428
2328,2,2,1.378838706727257,25,5.154017269778109,317866.0446085192
1446,3,1,1.1608654126007243,8,1.0839845784438396,259640.95917738587
2868,4,2,9.889501507624283,14,3.220109780694607,492413.0613585479
3688,1,3,4.849958203622761,9,7.5381554360170435,536551.7380648401
3014,1,2,4.4589398244371345,23,9.926289562144271,488954.87982724304
2097,5,3,7.116825544237629,41,1.8926028962849433,344239.03602147306
3235,3,1,2.9642849907855773,7,4.613448842751595,441005.2195004929
1400,3,2,9.549650655552028,23,8.200638718292435,346937.2135649337
3163,5,1,8.07710512973997,15,2.8363207116600897,549733.2893558965
2861,4,3,1.8046990208103355,48,5.995764543720576,401928.71665065625
1041,3,3,4.758226982064356,25,7.597641664267073,228339.33215870126
2841,1,3,8.912064768059482,26,6.543869052341611,461983.1569686891
3624,1,1,9.502588200622693,36,2.692222611538745,576974.0669284029
3412,2,1,5.2066136012488275,3,4.198461118171655,507859.7224151218
3745,3,1,6.520702502896369,49,8.054126060368574,565065.6453188165
2163,4,1,2.503305514828677,23,5.98803862718815,347430.2808410138
2939,5,3,9.92051763523279,18,1.0470665218862147,478352.8665745403
2190,5,3,3.0850453124509905,35,7.848916840252844,341647.60160023783
3803,4,2,9.48458596721613,38,1.3178021944621516,559846.934528291
2278,2,2,6.846819840931316,9,7.711604044581089,394735.85879391903
3356,5,1,6.469631153909732,24,2.8223250414871366,515301.11768298806
1575,3,3,5.614196599148578,17,9.622661321074421,311115.60647431895
834,2,3,3.076028305459828,18,4.31146676171876,188809.0140044406
3053,3,3,2.5887522880495744,35,3.942384547042712,459599.55471579696
3952,1,2,2.9843758816315784,9,2.339992452992002,525190.4171103374
2755,2,2,2.6779443592982908,32,3.750437939411934,377119.5599030949
2385,5,3,8.01626026210078,49,8.889856856453804,430936.54663353896
3873,2,3,4.151127332500571,4,9.967009038645227,529952.5613428652
1821,2,3,1.5205840890705673,46,4.314785774561635,284974.02379464806
3413,2,2,9.721923671267302,48,5.037495678590883,531369.6214387615
1929,2,3,8.954072964670832,34,7.498638443824634,407234.9801307889
2300,3,3,9.349770548756917,43,8.97576202418567,429730.3966784032
1502,1,1,9.954170403817917,33,6.337399007681057,328424.6821554395
3249,4,1,2.5650572429753855,32,4.523731283600464,490740.5868979381
3577,2,2,4.566178170123929,20,4.713596567637614,506944.13642127666
2379,5,3,7.824146281336822,16,7.260563318471262,404404.115109319
961,2,3,7.26418556248413,21,1.0289643724385082,210386.2055103969
1001,5,1,2.3850631570586955,47,6.576304037138566,177454.30309931494
2781,3,2,8.34249812491556,36,4.199437093972216,467756.4490774617
1795,5,1,3.019965146529946,14,8.147775981493758,315220.35287741455
3117,4,1,3.0143585334036076,34,1.8369157584081894,469637.3926789992
1615,1,1,5.832769806040722,27,6.2938204025355144,269793.9477261958
1255,5,1,6.336459413575328,6,5.328756008975113,267640.46841995016
2075,5,3,6.220775870540301,31,6.780929733147047,343475.86268130754
1816,1,3,1.8233815365797938,10,1.5836823503467152,282683.597061556
3143,4,1,8.897147763673424,9,6.219854086853181,570614.5303695549
